Price,URL,Type,Location,Bedrooms,Bathrooms,Parking.Spaces,Erf.Size,Floor.Size,Latitude,Longitude,Erf.Size.Normalized,Floor.Size.Normalized,Size,Predicted,Difference
750000,https://www.property24.com/for-sale/ocean-view/cape-town/western-cape/9069/115047951,House,Ocean View,0.2,0.2,0.2,150.0,,0.589297092598906,0.0,0.179734620024125,,0.179734620024125,1171673.0,421673.0
550000,https://www.property24.com/for-sale/kensington/cape-town/western-cape/8010/114143039,Apartment,Kensington,0.2,0.2,0.1,,56.0,0.582243762994914,0.354795064090154,,0.223175965665236,0.223175965665236,971173.0,421173.0
600000,https://www.property24.com/for-sale/thornton/cape-town/western-cape/8112/113035326,Apartment,Thornton,0.0666666666666667,0.2,0.1,,42.0,0.568048208943519,0.429683116653472,,0.163090128755365,0.163090128755365,1020444.0,420444.0
600000,https://www.property24.com/for-sale/thornton/cape-town/western-cape/8112/114306441?plId=1830296&amp;plt=4,Apartment,Thornton,0.0666666666666667,0.2,0.1,,42.0,0.568048208943519,0.429683116653472,,0.163090128755365,0.163090128755365,1020444.0,420444.0
590000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/111765881,Townhouse,Bonteheuwel,0.2,0.2,0.1,123.0,,0.481827989112927,0.34452394920694,0.147165259348613,,0.147165259348613,1009954.0,419954.0
680000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/114973952,House,Bonteheuwel,0.2,0.2,0.1,311.0,,0.481827989112927,0.34452394920694,0.37394451145959,,0.37394451145959,1097527.0,417527.0
380000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115103269,Apartment,Wynberg,0.0666666666666667,0.2,0.1,,34.0,0.299112099254906,0.235312456728385,,0.128755364806867,0.128755364806867,795145.0,415145.0
795000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/114509895,Apartment,Zonnebloem,0.133333333333333,0.2,0.1,,34.0,0.524774516642217,0.138378621885843,,0.128755364806867,0.128755364806867,1207462.0,412462.0
780000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/114947160,Apartment,Zonnebloem,0.0333333333333333,0.2,0.0,,32.0,0.524774516642217,0.138378621885843,,0.120171673819742,0.120171673819742,1188707.0,408707.0
379000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114882845,Apartment,Wynberg,0.0666666666666667,0.2,0.1,,30.0,0.299112099254906,0.235312456728385,,0.111587982832618,0.111587982832618,787255.0,408255.0
380000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115035653,Apartment,Wynberg,0.0666666666666667,0.2,0.1,,30.0,0.299112099254906,0.235312456728385,,0.111587982832618,0.111587982832618,787236.0,407236.0
795000,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/115019549,Apartment,Cape Town City Centre,0.0333333333333333,0.2,0.0,,23.0,0.55691603469312,0.112203563656566,,0.0815450643776824,0.0815450643776824,1201800.0,406800.0
850000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/113928340,Apartment,Zonnebloem,0.133333333333333,0.2,0.0,,65.0,0.524774516642217,0.138378621885843,,0.261802575107296,0.261802575107296,1255855.0,405855.0
650000,https://www.property24.com/for-sale/langa/cape-town/western-cape/9117/115225288,House,Langa,0.133333333333333,0.2,0.1,200.0,,0.483471432530879,0.424195074728883,0.240048250904704,,0.240048250904704,1054745.0,404745.0
799000,https://www.property24.com/for-sale/salt-river/cape-town/western-cape/10158/112967029,Apartment,Salt River,0.0666666666666667,0.2,0.0,,43.0,0.527457870987542,0.21651398666298,,0.167381974248927,0.167381974248927,1201755.0,402755.0
290000,https://www.property24.com/for-sale/greenville-garden-city/cape-town/western-cape/16424/114751065,House,Greenville Garden City,0.133333333333333,0.2,0.1,98.0,,1.0,1.0,0.117008443908323,,0.117008443908323,691924.0,401924.0
459000,https://www.property24.com/for-sale/kensington/cape-town/western-cape/8010/115047253,House,Kensington,0.133333333333333,0.2,0.1,102.0,,0.582243762994914,0.354795064090154,0.12183353437877,,0.12183353437877,854817.0,395817.0
395000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114922676,Apartment,Wynberg,0.0666666666666667,0.2,0.1,,31.0,0.299112099254906,0.235312456728385,,0.11587982832618,0.11587982832618,788764.0,393764.0
395000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/113970040,Apartment,Wynberg,0.0666666666666667,0.2,0.1,,30.0,0.299112099254906,0.235312456728385,,0.111587982832618,0.111587982832618,786964.0,391964.0
300000,https://www.property24.com/for-sale/greenville-garden-city/cape-town/western-cape/16424/114997526,House,Greenville Garden City,0.133333333333333,0.2,0.1,91.0,,1.0,1.0,0.108564535585042,,0.108564535585042,691742.0,391742.0
300000,https://www.property24.com/for-sale/greenville-garden-city/cape-town/western-cape/16424/114455854,House,Greenville Garden City,0.133333333333333,0.2,0.0,107.0,,1.0,1.0,0.127864897466827,,0.127864897466827,688996.0,388996.0
399000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115006241,Apartment,Wynberg,0.0666666666666667,0.2,0.1,,30.0,0.299112099254906,0.235312456728385,,0.111587982832618,0.111587982832618,786891.0,387891.0
450000,https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/114737977,Apartment,Maitland,0.0333333333333333,0.2,0.1,,24.0,0.556668716539425,0.312988176923529,,0.0858369098712446,0.0858369098712446,837671.0,387671.0
450000,https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/114840027,Apartment,Maitland,0.0333333333333333,0.2,0.1,,24.0,0.556668716539425,0.312988176923529,,0.0858369098712446,0.0858369098712446,837671.0,387671.0
820000,https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/115077533,House,Retreat,0.2,0.2,0.1,397.0,,0.138651192190957,0.262819490907442,0.477683956574186,,0.477683956574186,1205673.0,385673.0
795000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/114841720,House,Bonteheuwel,0.2,0.4,0.2,219.0,,0.484269613719838,0.34452394920694,0.262967430639324,,0.262967430639324,1180118.0,385118.0
900000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/114849770,Apartment,Woodstock,0.133333333333333,0.2,0.1,,65.0,0.531093670083936,0.175024365632175,,0.261802575107296,0.261802575107296,1283536.0,383536.0
779000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/114656799,House,Bonteheuwel,0.2,0.4,0.3,204.0,,0.484269613719838,0.34452394920694,0.244873341375151,,0.244873341375151,1161718.0,382718.0
720000,https://www.property24.com/for-sale/lavender-hill/cape-town/western-cape/10211/115132328,House,Lavender Hill,0.266666666666667,0.2,0.2,225.0,,0.0769188031325225,0.283722934490765,0.270205066344994,,0.270205066344994,1098000.0,378000.0
499000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115221337,Apartment,Wynberg,0.0666666666666667,0.2,0.1,,45.0,0.299112099254906,0.235312456728385,,0.175965665236052,0.175965665236052,875855.0,376855.0
499000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114096228,Apartment,Wynberg,0.0666666666666667,0.2,0.1,,45.0,0.299112099254906,0.235312456728385,,0.175965665236052,0.175965665236052,875855.0,376855.0
260000,https://www.property24.com/for-sale/philippi-east/cape-town/western-cape/16287/114914081,House,Philippi East,0.0666666666666667,0.2,0.5,179.0,,0.277500492890148,0.65563620564665,0.214716525934861,,0.214716525934861,636416.0,376416.0
