"Price","URL","Type","Location","Bedrooms","Bathrooms","Parking.Spaces","Erf.Size","Floor.Size","Latitude","Longitude"
1395000,"https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115165637","Apartment","Plumstead",2,1,1,NA,78,-34.02,18.4772222
1450000,"https://www.property24.com/for-sale/heathfield/cape-town/western-cape/10207/115218578","Townhouse","Heathfield",2,1,2,77,NA,-33.9162866438176,18.3918808326189
660000,"https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/115084372","Apartment","Belhar",2,1,2,NA,38,-33.9447222,18.6258333
1500000,"https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/115224456","Apartment","Cape Town City Centre",0.5,1,0,NA,28,-33.9224221,18.4263523
1350000,"https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115069408","Apartment","Zonnebloem",1,1,1,NA,50,-33.932546,18.435048
360000,"https://www.property24.com/for-sale/greenville-garden-city/cape-town/western-cape/16424/115163958","House","Greenville Garden City",2,1,1,112,NA,-33.78286,18.72129
1500000,"https://www.property24.com/for-sale/diep-river/cape-town/western-cape/10195/115111033","Townhouse","Diep River",2,2,1,64,NA,-33.8615577730461,18.4973548386731
950000,"https://www.property24.com/for-sale/turf-hall-estate/cape-town/western-cape/16455/115207319","Apartment","Turf Hall Estate",2,1,1,NA,53,-33.9891407,18.51204335
1500000,"https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115207625","Apartment","Muizenberg",3,2,1,NA,88,-34.0978389,18.4845707617506
700000,"https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/114870557","Apartment","Belhar",2,1,0,NA,38,-33.9447222,18.6258333
1350000,"https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115186306","House","Wynberg",2,1,4,198,NA,-34.0036249,18.4672507
1450000,"https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/115197302","Apartment","Claremont",1,1,1,NA,43,-33.9847222,18.4625
650000,"https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115197831","Apartment","Belhar",2,1,1,NA,38,-33.9447222,18.6258333
700000,"https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115111408","Apartment","Belhar",2,1,0,NA,38,-33.9447222,18.6258333
1195000,"https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/115071769","Apartment","Rondebosch",1,1,1,NA,34,-33.9680556,18.4877778
1395000,"https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115089461","Apartment","Woodstock",0.5,1,1,NA,43,-33.9305556,18.4472222
