Price,URL,Type,Location,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Floor Size
960000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115028425,0.5 Bedroom Apartment,Woodstock,0.5,1,1,,43
1265000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115101756,1 Bedroom Apartment,Woodstock,1,1,1,,62
1250000,https://www.property24.com/for-sale/surrey-estate/cape-town/western-cape/8762/115208034,3 Bedroom House,Surrey Estate,3,2,2,205,
960000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115101506,0.5 Bedroom Apartment,Woodstock,0.5,1,1,,43
1265000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115101627,1 Bedroom Apartment,Woodstock,1,1,1,,132
650000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/115099899,1 Bedroom House,Bonteheuwel,1,1,4,316,
875000,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/115021922,0.5 Bedroom Apartment,Claremont,0.5,1,1,,28
1125000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115101822,1 Bedroom Apartment,Woodstock,1,1,1,,43
800000,https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/115016564,1 Bedroom Apartment,Pinelands,1,1,1,,36
884900,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115213833,1 Bedroom Apartment,Zonnebloem,1,1,1,,41
1450000,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/115090825,0.5 Bedroom Apartment,Rondebosch,0.5,1,1,,41
1350000,https://www.property24.com/for-sale/salt-river/cape-town/western-cape/10158/113258148,1 Bedroom Apartment,Salt River,1,1,1,,61
770000,https://www.property24.com/for-sale/erica-township/cape-town/western-cape/16397/115180372,2 Bedroom Apartment,Erica Township,2,1,,,
1250000,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/115218636,1 Bedroom Apartment,Cape Town City Centre,1,1,1,,43
1299000,https://www.property24.com/for-sale/observatory/cape-town/western-cape/10157/115102467,2 Bedroom Apartment,Muizenberg,2,1,2,,68
1395000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115088917,0.5 Bedroom Apartment,Woodstock,0.5,1,1,,43
920000,https://www.property24.com/for-sale/vanguard/cape-town/western-cape/8766/115205648,2 Bedroom Apartment,Vanguard,2,1,1,,4
1280000,https://www.property24.com/for-sale/athlone/cape-town/western-cape/8734/115216214,3 Bedroom Apartment,Athlone,3,2,2,,92
1130000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115203167,Apartment,Woodstock,,,,,1
1494995,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115204158,1 Bedroom Apartment,Woodstock,1,1,1,,42
1450000,https://www.property24.com/for-sale/rosebank/cape-town/western-cape/8683/115217786,1 Bedroom Apartment,Rosebank,1,1,1,,42
1130000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115196353,Apartment,Woodstock,,,,,1
1400000,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/115104760,2 Bedroom Apartment,Claremont,2,1,1,,53
1395000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115165637,2 Bedroom Apartment,Plumstead,2,1,1,,78
1450000,https://www.property24.com/for-sale/heathfield/cape-town/western-cape/10207/115218578,2 Bedroom Townhouse,Heathfield,2,1,2,77,
660000,https://www.property24.com/for-sale/sea-point/cape-town/western-cape/11021/115084372,2 Bedroom Apartment,Belhar,2,1,2,,38
1500000,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/115224456,0.5 Bedroom Apartment,Cape Town City Centre,0.5,1,,,28
1350000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115069408,1 Bedroom Apartment,Zonnebloem,1,1,1,,50
1295000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115208170,0.5 Bedroom Apartment,Woodstock,0.5,1,,,
360000,https://www.property24.com/for-sale/greenville-garden-city/cape-town/western-cape/16424/115163958,2 Bedroom House,Greenville Garden City,2,1,1,112,
1500000,https://www.property24.com/for-sale/diep-river/cape-town/western-cape/10195/115111033,2 Bedroom Townhouse,Diep River,2,2,1,64,
950000,https://www.property24.com/for-sale/turf-hall-estate/cape-town/western-cape/16455/115207319,2 Bedroom Apartment,Turf Hall Estate,2,1,1,,53
1500000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115207625,3 Bedroom Apartment,Muizenberg,3,2,1,,88
700000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/114870557,2 Bedroom Apartment,Belhar,2,1,,,38
1350000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115186306,2 Bedroom House,Wynberg,2,1,4,198,
1450000,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/115197302,1 Bedroom Apartment,Claremont,1,1,1,,43
650000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115197831,2 Bedroom Apartment,Belhar,2,1,1,,38
700000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115111408,2 Bedroom Apartment,Belhar,2,1,,,38
1195000,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/115071769,1 Bedroom Apartment,Rondebosch,1,1,1,,34
1395000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115089461,0.5 Bedroom Apartment,Woodstock,0.5,1,1,,43
1200000,https://www.property24.com/for-sale/ottery/cape-town/western-cape/10090/115084385,Apartment,Woodstock,,,,,
1300000,https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/115225097,4 Bedroom House,Pelican Park,4,2,5,396,
750000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115189819,2 Bedroom Apartment,Belhar,2,1,1,,38
1000000,https://www.property24.com/for-sale/observatory/cape-town/western-cape/10157/115200405,1 Bedroom Apartment,Observatory,1,1,1,,56
1500000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115224138,1 Bedroom Apartment,Zonnebloem,1,1,,,42
999000,https://www.property24.com/for-sale/salt-river/cape-town/western-cape/10158/115019070?plId=1834752&amp;plt=4,1 Bedroom Apartment,Salt River,1,1,1,,56
1350000,https://www.property24.com/for-sale/diep-river/cape-town/western-cape/10195/115221196,2 Bedroom Apartment,Diep River,2,1,1,,70
