Price,URL,Type,Location,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Floor Size,Latitude,Longitude
795000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/114841720,house,Bonteheuwel,3.0,2.0,2.0,219.0,,-33.94530418976714,18.5035322
1199000,https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/114933920,townhouse,Retreat,3.0,2.0,2.0,,,-34.0541667,18.4763889
1370000,https://www.property24.com/for-sale/ocean-view/cape-town/western-cape/9069/114686980,house,Ocean View,3.0,2.0,3.0,333.0,,-33.91222275,18.389076794442737
650000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/114948482,apartment,Belhar,,,,38.0,,-33.9447222,18.6258333
780000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/114771187,apartment,Zonnebloem,,1.0,1.0,,33.0,-33.932546,18.435048
665000,https://www.property24.com/for-sale/manenberg/cape-town/western-cape/8718/114882231,house,Manenberg,3.0,1.0,3.0,262.0,,-33.9897222,18.5544444
750000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/114163954,apartment,Belhar,2.0,1.0,1.0,,44.0,-33.9447222,18.6258333
450000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114602286,apartment,Wynberg,1.0,1.0,1.0,,36.0,-34.0036249,18.4672507
995000,https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/114094280,apartment,Kenilworth,1.0,1.0,1.0,,39.0,-33.9941667,18.4683333
699000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/114947076,house,Bonteheuwel,2.0,1.0,,200.0,,-33.94530418976714,18.5035322
850000,https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/114911090,house,Pelican Park,2.0,1.0,1.0,,,-34.0546062,18.5284575
1480000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/114726595,apartment,Woodstock,2.0,1.0,1.0,,55.0,-33.9305556,18.4472222
1500000,https://www.property24.com/for-sale/grassy-park/cape-town/western-cape/10204/114926958,townhouse,Grassy Park,3.0,2.0,1.0,,,-34.0451287,18.5032529
650000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/114966221,apartment,Belhar,,,,38.0,,-33.9447222,18.6258333
875000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/114864813,townhouse,Muizenberg,2.0,1.0,,,45.0,-34.0978389,18.484570761750607
1390000,https://www.property24.com/for-sale/observatory/cape-town/western-cape/10157/114160591,apartment,Observatory,1.0,1.0,,,52.0,-33.9369444,18.4683333
